Botanical name,C for coastal,Coastal preference,Description,Common Name,Drainage Preferences,Drought tolerance,Flower description,Frost tolerance,G for groundcover,H for hardiness,Height average,Position preference,D for dappled,Soil type,T for tasmanian,Wet area plant,Average width,Wind resistance,Detailed Description
Kunzea muelleri,C,mild coastal exposure,compact plant for a container slow growing border or rockery plant,,moist well drained site,usually tolerates dry periods,yellow clusters of flowers in summer,very frost & snow hardy,,H,0.3,prefers full sun,,light clay to sandy soils,,,0.6,very wind resistant,"Known for its compact plant for a container slow growing border or rockery plant, Kunzea muelleri makes an excellent addition to any garden. compact plant for a container slow growing border or rockery plant. It showcases yellow clusters of flowers in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.3 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Westringia dampieri,C,moderate coastal exposure,compact contrast foliage good for protecting other plants near the sea,,very good drainage,very drought tolerant,white flowers in summer,frost hardy,,,1.2,prefers full sun,,light clay to sandy soils,,,1.3,very wind resistant,"Westringia dampieri is well-regarded for compact contrast foliage good for protecting other plants near the sea. It showcases white flowers in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and very drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 1.2 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Banksia littoralis,C,moderate coastal exposure,trunk & branches have twisted habit useful screen plant,Twisted Banksia,good drainage,usually tolerates dry periods,yellow cones in autumn & winter,frost hardy,,,7.0,part shade to full sun,,light clay to sandy soils,,,3.0,wind resistant,"Banksia littoralis is well-regarded for trunk & branches have twisted habit useful screen plant. It showcases yellow cones in autumn & winter, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 7.0 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Lomatia polymorpha,,mild coastal sites,prune to create a dense plant,Mountain Guitar Plant,moist well drained site,usually tolerates dry periods,bright creamy white racemes in summer,very frost & snow hardy,,,2.0,dappled shade,D,light clay to sandy soils,T,,2.0,wind resistant,"Known for its prune to create a dense plant, Mountain Guitar Plant makes an excellent addition to any garden. prune to create a dense plant. It showcases bright creamy white racemes in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost & snow hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 2.0 meters, it flourishes in dappled shade. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Baloskion tetraphyllum Restio tetraphyllus,,protect in coastline sites,attracts butterflies - aquatic container plant clumping border plant - cut foliage,Tassel Cord Rush,grows well in wet sites,usually moisture reliant,rusty brown seed spikes in spring,very frost & snow hardy,,H,0.75,part shade to full sun,,heavy clay or peat soils,T,W,0.5,very wind resistant,"Known for its attracts butterflies - aquatic container plant clumping border plant - cut foliage, Tassel Cord Rush makes an excellent addition to any garden. attracts butterflies - aquatic container plant clumping border plant - cut foliage. It showcases rusty brown seed spikes in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in heavy clay or peat soils, this plant is both very frost & snow hardy and usually moisture reliant, ensuring its resilience in various conditions. Typically reaching an average height of 0.75 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea Big Red,,mild coastal sites,prune to create a screen good bird attracting plant,,good drainage,usually tolerates dry periods,large red flowers in spring,very frost hardy,,H,3.0,part shade to full sun,,light clay to sandy soils,,,3.0,very wind resistant,"Grevillea Big Red (Grevillea Big Red) is recognized for prune to create a screen good bird attracting plant. It showcases large red flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both very frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 3.0 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Anigozanthos Yellow Gem,C,moderate coastal exposure,cut flowers - container or border plant gets inkspot - clumped habit - attracts birds,Kangaroo Paw,moist well drained site,usually tolerates dry periods,yellow tubular paws in summer,frost hardy,,,1.2,prefers full sun,,prefers sandy soils,,,1.2,some wind protection,"Known for its cut flowers - container or border plant gets inkspot - clumped habit - attracts birds, Kangaroo Paw makes an excellent addition to any garden. cut flowers - container or border plant gets inkspot - clumped habit - attracts birds. It showcases yellow tubular paws in summer, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 1.2 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Melaleuca hypericifolia prostrate,C,moderate coastal exposure,fast growing groundcover for retainer wall prune occasionally,,tolerates wet sites,usually tolerates dry periods,red brushes in late summer & autumn,light frosts only,G,,0.5,part shade to full sun,,light clay to sandy soils,,W,2.5,wind resistant,"Melaleuca hypericifolia prostrate is well-regarded for fast growing groundcover for retainer wall prune occasionally. It showcases red brushes in late summer & autumn, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both light frosts only and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.5 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Grevillea lavandulacea Chetwynd Padthaway Penola,C,moderate coastal exposure,compact shrub very good bird attracting plant,Lavender Grevillea,good drainage,usually tolerates dry periods,bright pinky red spiders in spring,frost hardy,,,0.7,prefers full sun,,light clay to sandy soils,,,1.0,wind resistant,"Lavender Grevillea is a remarkable plant admired for compact shrub very good bird attracting plant. It showcases bright pinky red spiders in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in light clay to sandy soils, this plant is both frost hardy and usually tolerates dry periods, ensuring its resilience in various conditions. Typically reaching an average height of 0.7 meters, it flourishes in prefers full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
Kennedia eximia,,mild coastal sites,trailing groundcover for retainer wall prune after flowering,,very good drainage,drought tolerant,deep crimson pea flowers in spring,light frosts only,G,,0.15,part shade to full sun,,prefers sandy soils,,,1.3,some wind protection,"Known for its trailing groundcover for retainer wall prune after flowering, Kennedia eximia makes an excellent addition to any garden. trailing groundcover for retainer wall prune after flowering. It showcases deep crimson pea flowers in spring, bringing a vibrant and elegant touch to outdoor spaces. Thriving in prefers sandy soils, this plant is both light frosts only and drought tolerant, ensuring its resilience in various conditions. Typically reaching an average height of 0.15 meters, it flourishes in part shade to full sun. With its adaptability and beauty, this plant is a perfect choice for enhancing any landscape."
